,Age,Gender,MonthlyIncome,Department,NumCompaniesWorked,workingfromhome,BusinessTravel,DistanceFromHome,StandardHours,JobSatisfaction,complaintfiled,complaintyears,PercentSalaryHike,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,Over18_Y,complaintresolved_N,complaintresolved_Y,Left
248,49,Female,medium,Sales,1,0,Travel_Rarely,11,40,4,0,,18,4,9,9,7,1,0,0,1
249,41,Male,low,Research & Development,3,0,Travel_Rarely,1,40,4,0,,22,5,12,5,1,1,0,0,0
250,31,Male,low,Human Resources,0,0,Travel_Rarely,18,40,1,0,,17,4,2,1,0,1,0,0,1
251,49,Male,high,Sales,6,0,Travel_Rarely,8,40,2,0,,17,4,22,9,2,1,0,0,0
252,42,Male,medium,Human Resources,7,1,Non-Travel,2,40,1,0,,16,3,10,4,0,1,0,0,0
253,48,Male,medium,Research & Development,9,1,Travel_Rarely,1,40,3,0,,13,2,23,1,0,1,0,0,1
254,29,Female,low,Research & Development,1,1,Travel_Rarely,4,40,1,1,0.0,13,2,1,1,0,1,0,1,0
255,38,Male,high,Research & Development,0,0,Travel_Rarely,15,40,4,0,,14,3,12,11,2,1,0,0,0
256,60,Male,medium,Sales,8,0,Travel_Rarely,16,40,1,1,0.0,14,3,10,2,2,1,0,1,0
257,40,Male,low,Research & Development,3,1,Travel_Rarely,1,40,2,1,3.0,22,5,7,4,0,1,1,0,0
258,34,Female,low,Sales,1,0,Travel_Rarely,10,40,3,0,,19,4,1,1,0,1,0,0,0
259,33,Female,medium,Research & Development,0,1,Travel_Rarely,15,40,4,0,,13,2,10,9,8,1,0,0,0
260,57,Male,medium,Research & Development,0,1,Travel_Rarely,1,40,3,0,,24,5,13,12,2,1,0,0,0
261,33,Female,medium,Research & Development,1,0,Travel_Frequently,29,40,3,0,,22,5,14,13,3,1,0,0,1
262,22,Female,low,Research & Development,1,1,Travel_Rarely,15,40,4,0,,15,3,1,0,0,1,0,0,0
263,31,Female,low,Human Resources,9,0,Travel_Rarely,8,40,2,0,,18,4,8,3,0,1,0,0,0
264,31,Female,medium,Research & Development,1,1,Travel_Rarely,8,40,4,0,,23,5,11,11,1,1,0,0,0
265,24,Male,medium,Research & Development,1,1,Travel_Rarely,29,40,1,0,,13,2,6,6,1,1,0,0,0
266,52,Male,low,Sales,2,0,Non-Travel,29,40,4,0,,15,3,16,9,0,1,0,0,0
267,35,Male,medium,Sales,0,0,Travel_Rarely,1,40,1,0,,14,3,16,15,2,1,0,0,0
268,41,Male,high,Sales,2,1,Travel_Rarely,3,40,2,0,,11,1,14,5,0,1,0,0,0
269,31,Female,medium,Research & Development,8,0,Travel_Rarely,4,40,3,0,,12,1,4,2,2,1,0,0,0
270,48,Female,high,Research & Development,3,0,Travel_Frequently,22,40,4,0,,11,1,24,22,4,1,0,0,0
271,42,Male,low,Research & Development,6,0,Travel_Frequently,19,40,3,1,2.0,12,2,7,2,2,1,0,1,1
272,35,Male,low,Research & Development,1,1,Travel_Rarely,1,40,3,0,,18,4,6,6,0,1,0,0,0
273,34,Male,medium,Research & Development,1,0,Travel_Frequently,10,40,4,0,,13,2,9,9,7,1,0,0,0
274,39,Female,medium,Sales,6,1,Non-Travel,21,40,3,1,2.0,19,4,10,3,1,1,0,1,0
275,33,Male,high,Research & Development,0,1,Travel_Rarely,7,40,3,0,,11,1,14,13,3,1,0,0,0
276,28,Female,medium,Research & Development,0,0,Non-Travel,1,40,4,1,0.0,11,1,10,9,7,1,1,0,0
277,53,Male,high,Research & Development,3,1,Travel_Rarely,7,40,3,1,1.0,19,4,32,5,1,1,0,1,0
278,31,Male,high,Sales,9,0,Travel_Rarely,7,40,4,0,,21,5,10,5,0,1,0,0,0
279,32,Male,low,Research & Development,1,0,Travel_Rarely,2,40,2,0,,12,1,1,1,0,1,0,0,1
280,27,Male,high,Sales,1,1,Travel_Frequently,8,40,3,1,0.0,15,3,9,9,1,1,0,1,0
281,35,Male,medium,Research & Development,9,0,Travel_Rarely,9,40,2,0,,19,4,10,1,0,1,0,0,0
282,50,Female,medium,Sales,0,0,Non-Travel,1,40,3,1,2.0,12,2,19,18,0,1,0,1,0
283,33,Female,high,Research & Development,1,1,Travel_Frequently,1,40,4,0,,12,2,15,15,8,1,0,0,0
284,28,Male,medium,Sales,1,1,Travel_Rarely,26,40,1,0,,11,1,5,5,0,1,0,0,0
285,23,Male,low,Research & Development,2,1,Travel_Rarely,10,40,3,1,2.0,16,4,4,2,2,1,0,1,0
286,47,Male,medium,Sales,7,1,Non-Travel,2,40,2,0,,11,1,4,1,0,1,0,0,0
287,32,Female,low,Research & Development,3,1,Travel_Rarely,5,40,4,0,,17,4,6,3,0,1,0,0,0
288,37,Male,medium,Research & Development,5,1,Non-Travel,2,40,4,0,,14,2,17,1,0,1,0,0,0
289,29,Female,low,Research & Development,6,0,Travel_Rarely,7,40,4,0,,14,3,8,4,0,1,0,0,0
290,48,Male,low,Research & Development,4,0,Travel_Rarely,20,40,3,0,,17,4,13,0,0,1,0,0,0
291,50,Male,high,Sales,4,1,Travel_Rarely,28,40,1,0,,13,2,20,3,2,1,0,0,1
292,31,Male,low,Research & Development,1,0,Travel_Rarely,1,40,1,0,,12,2,4,4,3,1,0,0,0
293,29,Male,high,Research & Development,1,1,Travel_Rarely,3,40,3,0,,18,4,10,10,0,1,0,0,0
294,47,Female,high,Research & Development,8,1,Travel_Rarely,4,40,2,0,,12,1,28,22,14,1,0,0,0
295,39,Female,medium,Research & Development,4,0,Travel_Rarely,6,40,2,0,,18,4,9,2,2,1,0,0,0
296,34,Female,low,Human Resources,1,0,Travel_Rarely,9,40,3,0,,15,3,2,2,2,1,0,0,1
297,50,Male,medium,Research & Development,2,0,Travel_Rarely,1,40,3,0,,15,3,5,3,0,1,0,0,0
298,42,Male,high,Research & Development,8,1,Travel_Rarely,9,40,4,1,,22,5,24,1,0,1,1,0,0
299,28,Male,medium,Sales,1,1,Travel_Rarely,9,40,4,0,,16,4,7,7,0,1,0,0,0
300,33,Female,medium,Research & Development,0,1,Travel_Rarely,1,40,4,0,,14,3,6,5,1,1,0,0,0
301,39,Female,high,Sales,0,1,Travel_Rarely,24,40,4,0,,11,1,21,20,9,1,0,0,0
302,58,Male,high,Sales,0,1,Travel_Rarely,10,40,3,1,2.0,13,2,38,37,1,1,1,0,0
303,37,Male,medium,Research & Development,5,0,Travel_Rarely,7,40,1,1,1.0,22,5,16,5,0,1,1,0,0
304,32,Male,medium,Sales,1,0,Travel_Frequently,5,40,2,0,,14,3,10,10,5,1,0,0,0
305,29,Male,low,Research & Development,3,1,Travel_Rarely,7,40,1,0,,14,3,11,3,1,1,0,0,0
306,46,Female,high,Sales,2,1,Travel_Rarely,10,40,4,0,,19,5,15,3,1,1,0,0,0
307,25,Male,medium,Sales,2,0,Travel_Rarely,18,40,3,0,,11,1,6,3,1,1,0,0,0
308,31,Female,medium,Research & Development,1,1,Travel_Frequently,3,40,3,0,,12,2,7,7,7,1,0,0,1
309,37,Female,medium,Research & Development,4,0,Travel_Rarely,11,40,3,0,,18,4,8,3,0,1,0,0,0
310,49,Female,medium,Sales,3,0,Travel_Rarely,11,40,4,0,,12,2,8,5,0,1,0,0,0
311,45,Male,high,Sales,4,0,Travel_Rarely,9,40,1,0,,12,1,18,5,0,1,0,0,0
312,35,Male,medium,Sales,6,0,Travel_Rarely,3,40,4,0,,13,2,12,10,0,1,0,0,0
313,46,Female,low,Human Resources,6,0,Travel_Rarely,1,40,1,1,0.0,12,1,10,7,5,1,0,1,0
314,43,Female,medium,Research & Development,1,1,Travel_Rarely,6,40,3,0,,14,3,20,20,1,1,0,0,0
315,31,Female,medium,Research & Development,2,1,Travel_Frequently,24,40,4,0,,12,5,9,5,1,1,0,0,1
316,47,Female,low,Research & Development,4,0,Travel_Rarely,9,40,3,0,,12,2,7,2,2,1,0,0,0
317,29,Female,medium,Research & Development,1,1,Travel_Rarely,28,40,1,0,,14,3,5,5,0,1,0,0,0
318,44,Male,low,Research & Development,1,1,Travel_Rarely,20,40,2,0,,13,2,6,5,1,1,0,0,0
319,36,Male,medium,Research & Development,8,0,Travel_Rarely,5,40,2,0,,16,3,16,13,3,1,0,0,0
320,28,Male,low,Research & Development,1,0,Travel_Rarely,21,40,4,0,,11,1,5,5,0,1,0,0,0
321,37,Male,medium,Research & Development,3,0,Travel_Rarely,19,40,3,0,,17,4,9,4,0,1,0,0,0
322,42,Male,medium,Research & Development,4,0,Travel_Rarely,8,40,3,1,,13,2,8,0,0,1,1,0,0
323,28,Female,medium,Research & Development,3,0,Travel_Rarely,10,40,3,0,,13,2,10,8,1,1,0,0,0
324,39,Male,high,Research & Development,1,1,Travel_Rarely,10,40,1,1,0.0,14,3,21,21,11,1,0,1,0
325,31,Female,medium,Research & Development,1,0,Travel_Rarely,7,40,4,0,,14,3,11,11,4,1,0,0,0
326,32,Female,medium,Research & Development,1,0,Travel_Rarely,9,40,4,0,,12,2,6,6,0,1,0,0,0
327,29,Male,low,Research & Development,6,0,Travel_Rarely,9,40,3,0,,18,4,5,1,0,1,0,0,0
328,31,Male,medium,Sales,2,1,Travel_Rarely,16,40,3,0,,13,2,10,1,0,1,0,0,1
329,40,Male,medium,Sales,5,1,Travel_Frequently,2,40,2,0,,12,1,5,0,0,1,0,0,0
330,39,Male,medium,Research & Development,0,0,Travel_Rarely,23,40,1,0,,13,2,6,5,0,1,0,0,1
331,35,Male,low,Research & Development,0,1,Travel_Rarely,23,40,3,0,,16,3,6,5,0,1,0,0,0
332,35,Female,medium,Research & Development,5,1,Travel_Frequently,2,40,2,0,,11,1,10,6,1,1,0,0,0
333,42,Male,low,Research & Development,4,0,Travel_Frequently,5,40,3,0,,17,4,8,2,2,1,0,0,0
334,29,Male,low,Human Resources,1,1,Travel_Rarely,6,40,2,0,,11,1,1,1,0,1,0,0,0
335,52,Female,low,Research & Development,9,0,Travel_Rarely,8,40,1,0,,13,2,12,5,0,1,0,0,0
336,49,Male,medium,Research & Development,1,0,Non-Travel,18,40,4,0,,15,3,7,7,1,1,0,0,0
337,26,Female,low,Research & Development,1,0,Travel_Rarely,1,40,3,0,,13,2,1,1,1,1,0,0,0
338,41,Female,high,Sales,0,1,Travel_Rarely,4,40,3,0,,13,2,23,22,13,1,0,0,0
339,59,Female,medium,Sales,7,0,Travel_Rarely,25,40,1,0,,11,1,28,21,7,1,0,0,0
340,40,Male,high,Research & Development,2,1,Travel_Rarely,1,40,1,0,,11,1,22,19,11,1,0,0,0
341,19,Male,low,Sales,1,1,Travel_Rarely,21,40,2,1,0.0,13,2,1,1,0,1,0,1,1
342,36,Male,low,Research & Development,1,0,Non-Travel,9,40,2,0,,22,5,5,5,0,1,0,0,0
343,38,Female,high,Research & Development,3,0,Travel_Rarely,25,40,2,0,,17,4,19,10,0,1,0,0,0
344,24,Male,low,Research & Development,0,0,Non-Travel,4,40,4,1,1.0,17,4,6,5,3,1,1,0,0
345,30,Male,low,Sales,1,1,Travel_Rarely,2,40,2,0,,18,4,1,1,0,1,0,0,0
346,21,Female,low,Research & Development,1,0,Travel_Rarely,1,40,2,0,,11,1,2,2,2,1,0,0,0
347,29,Male,high,Research & Development,1,0,Travel_Frequently,2,40,4,0,,19,5,6,6,1,1,0,0,0
348,27,Male,medium,Sales,3,0,Travel_Frequently,2,40,4,0,,20,5,8,6,0,1,0,0,0
349,43,Female,low,Research & Development,0,0,Travel_Frequently,10,40,4,0,,19,4,9,8,1,1,0,0,0
350,55,Male,high,Human Resources,4,1,Travel_Rarely,26,40,2,1,1.0,18,4,35,10,1,1,1,0,0
351,45,Female,high,Sales,3,1,Travel_Rarely,11,40,4,0,,13,2,26,9,1,1,0,0,0
352,43,Male,medium,Sales,1,0,Travel_Frequently,2,40,4,0,,20,5,7,7,7,1,0,0,0
353,46,Male,medium,Sales,4,1,Travel_Frequently,5,40,4,1,1.0,21,5,14,9,0,1,0,1,0
354,32,Male,medium,Sales,0,1,Travel_Frequently,9,40,4,0,,17,4,9,8,0,1,0,0,0
355,33,Male,high,Sales,1,1,Non-Travel,17,40,3,0,,11,1,10,10,6,1,0,0,0
356,29,Female,medium,Research & Development,0,0,Travel_Rarely,15,40,3,0,,12,2,10,9,0,1,0,0,0
357,49,Female,medium,Research & Development,2,0,Travel_Rarely,1,40,1,0,,16,3,7,4,0,1,0,0,0
358,49,Female,medium,Research & Development,4,0,Travel_Rarely,8,40,2,0,,11,1,29,26,1,1,0,0,0
359,21,Male,low,Research & Development,1,0,Travel_Rarely,5,40,4,0,,18,4,3,2,2,1,0,0,0
360,41,Female,low,Sales,1,1,Travel_Rarely,20,40,2,0,,22,5,4,4,0,1,0,0,1
361,58,Female,high,Research & Development,7,0,Travel_Rarely,7,40,1,0,,14,3,31,10,5,1,0,0,1
362,26,Male,medium,Research & Development,1,1,Travel_Rarely,1,40,1,1,0.0,16,3,6,5,1,1,0,1,0
363,35,Male,high,Research & Development,2,0,Travel_Frequently,18,40,4,0,,11,1,10,2,2,1,0,0,0
364,46,Male,high,Research & Development,6,1,Travel_Rarely,2,40,3,0,,13,2,26,3,0,1,0,0,0
365,55,Male,high,Research & Development,8,0,Travel_Rarely,14,40,2,0,,11,1,36,24,2,1,0,0,0
366,41,Female,high,Research & Development,1,1,Non-Travel,7,40,3,0,,22,5,21,21,5,1,0,0,0
367,32,Male,medium,Sales,6,0,Travel_Rarely,1,40,2,0,,15,3,10,0,0,1,0,0,1
368,34,Female,low,Research & Development,2,0,Travel_Rarely,1,40,4,0,,16,3,10,4,1,1,0,0,0
369,44,Male,medium,Research & Development,9,0,Travel_Rarely,4,40,2,0,,12,2,10,5,2,1,0,0,0
370,34,Male,low,Research & Development,1,0,Travel_Rarely,10,40,2,0,,14,2,1,1,1,1,0,0,0
371,35,Male,medium,Human Resources,1,1,Travel_Rarely,8,40,3,0,,17,4,6,5,1,1,0,0,0
372,24,Female,medium,Sales,9,0,Travel_Rarely,3,40,3,1,,14,2,4,2,2,1,1,0,1
373,31,Female,low,Sales,7,1,Travel_Frequently,2,40,4,0,,14,3,3,1,0,1,0,0,1
374,30,Female,medium,Sales,7,1,Travel_Rarely,7,40,1,0,,14,3,8,3,0,1,0,0,0
375,36,Male,medium,Research & Development,4,0,Travel_Rarely,3,40,2,0,,12,1,10,8,7,1,0,0,0
376,56,Male,high,Research & Development,7,0,Travel_Rarely,9,40,4,0,,11,1,30,10,1,1,0,0,0
377,34,Female,low,Research & Development,5,1,Travel_Rarely,1,40,2,0,,17,4,7,5,0,1,0,0,0
378,28,Female,medium,Sales,1,1,Travel_Rarely,2,40,2,0,,20,5,8,8,7,1,0,0,0
379,42,Male,medium,Sales,0,1,Travel_Rarely,8,40,2,0,,11,1,10,9,4,1,0,0,0
380,34,Male,medium,Research & Development,1,1,Travel_Rarely,1,40,2,1,2.0,15,3,5,5,1,1,0,1,0
381,52,Female,low,Research & Development,8,0,Travel_Rarely,11,40,3,1,0.0,20,5,9,5,1,1,0,1,0
382,24,Male,low,Research & Development,2,0,Travel_Frequently,9,40,1,0,,11,1,4,0,0,1,0,0,1
383,27,Female,high,Sales,1,1,Travel_Frequently,20,40,3,0,,14,3,7,7,0,1,0,0,0
384,36,Female,medium,Research & Development,7,0,Travel_Frequently,4,40,2,0,,13,2,18,4,0,1,0,0,0
385,37,Male,high,Research & Development,4,1,Travel_Rarely,7,40,3,0,,13,2,16,5,0,1,0,0,0
386,44,Male,medium,Research & Development,2,0,Non-Travel,24,40,3,0,,14,3,9,5,1,1,0,0,0
387,27,Female,medium,Sales,1,1,Travel_Rarely,10,40,4,0,,11,1,6,6,4,1,0,0,0
388,30,Male,medium,Research & Development,1,0,Travel_Rarely,1,40,2,1,1.0,13,2,12,12,1,1,1,0,0
389,41,Male,medium,Sales,1,1,Non-Travel,10,40,2,0,,13,2,19,19,11,1,0,0,0
390,47,Female,high,Research & Development,0,0,Non-Travel,1,40,2,0,,18,4,14,13,5,1,0,0,0
391,18,Male,low,Research & Development,1,1,Travel_Rarely,3,40,3,1,,13,2,0,0,0,1,0,1,1
392,25,Male,low,Research & Development,1,0,Travel_Rarely,7,40,4,0,,11,1,2,2,2,1,0,0,0
393,29,Male,medium,Sales,1,1,Non-Travel,2,40,3,0,,14,3,4,4,0,1,0,0,0
394,33,Female,low,Research & Development,3,1,Travel_Rarely,13,40,4,0,,18,4,5,3,0,1,0,0,0
395,48,Male,medium,Research & Development,2,1,Travel_Rarely,6,40,3,1,2.0,13,2,19,2,2,1,0,1,0
396,32,Male,low,Research & Development,6,0,Travel_Frequently,10,40,3,0,,13,2,10,5,1,1,0,0,0
397,32,Female,low,Research & Development,1,0,Travel_Frequently,13,40,2,0,,20,5,2,2,2,1,0,0,0
398,27,Female,medium,Research & Development,1,1,Travel_Rarely,1,40,1,0,,11,1,9,9,0,1,0,0,0
399,36,Female,high,Sales,3,0,Travel_Rarely,3,40,2,1,0.0,16,4,15,5,0,1,0,1,0
400,28,Male,low,Research & Development,1,0,Travel_Rarely,5,40,3,0,,13,2,2,2,2,1,0,0,1
401,39,Female,low,Research & Development,7,0,Travel_Rarely,1,40,3,1,0.0,14,3,7,3,1,1,0,1,0
402,43,Female,high,Sales,3,1,Travel_Rarely,4,40,4,0,,14,2,23,21,15,1,0,0,0
403,24,Female,medium,Research & Development,0,1,Non-Travel,11,40,3,1,0.0,18,4,5,4,1,1,1,0,0
404,55,Male,high,Research & Development,8,0,Travel_Rarely,2,40,1,0,,12,1,34,1,0,1,0,0,0
405,31,Male,high,Sales,1,0,Travel_Rarely,8,40,4,1,2.0,18,4,13,13,9,1,0,1,0
406,27,Male,low,Research & Development,1,0,Non-Travel,3,40,3,0,,15,3,1,1,0,1,0,0,0
407,39,Male,medium,Sales,2,0,Travel_Rarely,6,40,3,0,,11,1,11,7,7,1,0,0,0
408,31,Male,high,Research & Development,0,0,Non-Travel,5,40,1,0,,19,5,10,9,1,1,0,0,0
409,46,Female,high,Research & Development,4,1,Travel_Rarely,21,40,2,0,,22,5,13,9,3,1,0,0,1
410,35,Female,medium,Sales,1,0,Travel_Rarely,18,40,3,0,,16,4,5,5,1,1,0,0,0
411,38,Male,medium,Research & Development,2,1,Travel_Frequently,12,40,1,1,1.0,15,3,13,4,1,1,0,1,0
412,30,Male,low,Research & Development,1,0,Travel_Rarely,9,40,3,0,,13,2,10,10,1,1,0,0,0
413,21,Female,low,Research & Development,1,1,Travel_Frequently,10,40,3,0,,20,5,2,2,2,1,0,0,1
414,24,Female,medium,Research & Development,1,0,Travel_Frequently,2,40,4,0,,13,2,6,6,1,1,0,0,0
415,37,Male,high,Sales,5,0,Travel_Rarely,1,40,3,0,,11,1,17,14,11,1,0,0,1
416,56,Male,low,Research & Development,8,1,Travel_Rarely,7,40,3,0,,11,1,14,10,9,1,0,0,1
417,30,Female,medium,Research & Development,7,0,Non-Travel,9,40,3,1,2.0,18,4,10,8,1,1,1,0,0
418,29,Female,low,Research & Development,9,1,Travel_Rarely,9,40,3,0,,17,4,9,5,1,1,0,0,0
419,35,Male,medium,Research & Development,1,1,Travel_Frequently,18,40,3,0,,14,3,10,10,0,1,0,0,0
420,39,Female,medium,Human Resources,9,0,Travel_Rarely,3,40,2,0,,15,3,12,8,3,1,0,0,0
421,22,Male,low,Research & Development,1,0,Travel_Rarely,19,40,4,0,,24,5,2,2,2,1,0,0,0
422,44,Female,medium,Research & Development,1,1,Travel_Rarely,2,40,4,0,,19,4,9,8,6,1,0,0,0
423,42,Male,low,Research & Development,5,0,Travel_Frequently,2,40,4,0,,14,3,8,2,2,1,0,0,0
424,27,Male,low,Research & Development,1,0,Non-Travel,3,40,4,0,,11,1,0,0,0,1,0,0,0
425,42,Female,medium,Research & Development,9,1,Travel_Rarely,1,40,4,0,,13,2,8,4,0,1,0,0,0
426,55,Male,high,Research & Development,5,0,Travel_Rarely,2,40,1,0,,13,2,24,5,1,1,0,0,1
427,41,Female,high,Research & Development,0,0,Travel_Rarely,28,40,2,0,,23,5,21,20,0,1,0,0,0
428,31,Male,low,Research & Development,3,0,Travel_Rarely,11,40,4,1,0.0,19,4,8,6,0,1,0,1,0
429,40,Male,low,Research & Development,8,0,Travel_Rarely,19,40,4,0,,15,3,15,7,3,1,0,0,0
430,31,Female,low,Sales,1,1,Travel_Frequently,5,40,2,0,,11,1,2,2,2,1,0,0,0
431,22,Male,medium,Research & Development,6,0,Travel_Rarely,1,40,4,0,,22,5,4,2,2,1,0,0,0
432,36,Male,medium,Sales,5,1,Travel_Rarely,13,40,1,0,,13,2,16,2,2,1,0,0,1
433,49,Female,high,Research & Development,9,0,Travel_Frequently,10,40,1,0,,11,1,22,3,1,1,0,0,0
434,29,Female,medium,Sales,1,0,Travel_Rarely,27,40,4,0,,22,5,10,10,1,1,0,0,1
435,36,Female,medium,Sales,2,0,Travel_Frequently,7,40,1,0,,16,3,17,15,6,1,0,0,0
436,56,Male,high,Research & Development,4,0,Travel_Rarely,23,40,2,1,2.0,12,2,33,19,15,1,0,1,0
437,42,Male,high,Sales,6,1,Travel_Rarely,5,40,3,0,,13,2,21,1,0,1,0,0,0
438,30,Female,medium,Research & Development,2,0,Travel_Rarely,2,40,4,0,,20,5,11,5,0,1,0,0,0
439,42,Female,medium,Research & Development,1,0,Travel_Frequently,9,40,4,0,,13,2,12,12,5,1,0,0,0
440,24,Female,medium,Sales,0,1,Travel_Rarely,3,40,3,0,,21,5,4,3,0,1,0,0,0
441,36,Male,low,Research & Development,4,0,Travel_Rarely,2,40,3,0,,21,5,16,11,3,1,0,0,0
442,30,Male,low,Human Resources,0,0,Travel_Rarely,1,40,3,1,2.0,21,5,6,5,1,1,1,0,0
443,50,Female,high,Research & Development,3,0,Travel_Rarely,11,40,2,0,,15,3,21,5,4,1,0,0,0
444,36,Female,medium,Sales,3,0,Travel_Rarely,2,40,4,0,,15,3,17,13,6,1,0,0,0
445,51,Female,high,Research & Development,2,0,Travel_Rarely,3,40,3,1,0.0,11,1,15,2,2,1,0,1,0
446,30,Female,high,Research & Development,1,1,Travel_Rarely,17,40,1,0,,23,5,9,9,0,1,0,0,0
447,45,Male,low,Research & Development,5,0,Travel_Rarely,29,40,4,0,,13,2,9,6,0,1,0,0,0
448,34,Male,medium,Sales,1,0,Travel_Rarely,1,40,3,0,,14,3,10,10,8,1,0,0,0
449,26,Female,low,Research & Development,1,0,Travel_Rarely,6,40,4,0,,13,2,3,3,0,1,0,0,0
450,36,Male,low,Sales,3,0,Travel_Rarely,2,40,4,0,,21,5,7,3,1,1,0,0,0
451,32,Male,high,Research & Development,2,1,Travel_Rarely,10,40,4,0,,25,5,10,5,0,1,0,0,0
452,59,Female,high,Human Resources,9,0,Non-Travel,2,40,4,0,,14,5,30,3,2,1,0,0,1
453,47,Male,medium,Sales,2,0,Travel_Rarely,14,40,1,0,,12,1,20,7,1,1,0,0,0
454,30,Male,low,Research & Development,1,1,Non-Travel,7,40,3,0,,13,2,1,1,0,1,0,0,0
455,28,Female,medium,Research & Development,0,1,Travel_Rarely,3,40,2,1,0.0,17,4,10,9,1,1,1,0,0
456,32,Male,low,Research & Development,3,1,Travel_Rarely,6,40,3,0,,20,5,8,5,1,1,0,0,0
457,26,Male,medium,Sales,1,1,Travel_Rarely,28,40,2,0,,20,5,6,5,1,1,0,0,0
458,31,Female,high,Sales,1,0,Non-Travel,2,40,3,0,,19,4,10,10,9,1,0,0,0
459,54,Female,high,Sales,6,0,Travel_Rarely,2,40,3,0,,11,1,13,9,7,1,0,0,0
460,22,Female,low,Research & Development,1,0,Travel_Rarely,8,40,1,0,,17,4,1,1,0,1,0,0,1
461,32,Female,low,Sales,1,0,Non-Travel,2,40,1,0,,12,1,1,1,0,1,0,0,0
462,35,Male,high,Sales,9,1,Travel_Rarely,10,40,1,0,,17,4,15,13,6,1,0,0,1
463,44,Male,medium,Human Resources,4,0,Travel_Frequently,1,40,4,0,,11,1,14,10,0,1,0,0,0
464,35,Male,low,Research & Development,7,0,Travel_Rarely,11,40,3,0,,11,1,5,2,2,1,0,0,0
465,35,Female,medium,Sales,0,0,Travel_Frequently,18,40,3,1,,18,4,5,4,3,1,1,0,1
466,29,Male,medium,Research & Development,1,1,Travel_Rarely,7,40,4,0,,11,1,6,6,1,1,0,0,0
467,33,Male,medium,Research & Development,1,0,Travel_Frequently,7,40,3,1,0.0,20,5,9,9,2,1,0,1,0
468,32,Male,medium,Research & Development,0,1,Travel_Rarely,1,40,3,0,,14,3,4,3,1,1,0,0,1
469,34,Male,high,Research & Development,0,1,Travel_Rarely,9,40,4,0,,11,1,10,9,1,1,0,0,0
470,50,Male,medium,Sales,3,0,Travel_Frequently,8,40,3,1,1.0,14,3,18,4,1,1,0,1,1
471,31,Male,medium,Sales,4,0,Travel_Rarely,7,40,4,0,,11,1,10,8,7,1,0,0,0
472,33,Female,medium,Sales,5,1,Travel_Rarely,16,40,1,0,,15,3,6,3,0,1,0,0,1
473,31,Female,medium,Research & Development,2,1,Travel_Frequently,24,40,4,0,,20,5,9,5,1,1,0,0,0
474,28,Male,low,Research & Development,1,1,Travel_Frequently,6,40,3,0,,14,3,3,3,0,1,0,0,0
475,53,Female,high,Research & Development,6,0,Travel_Rarely,23,40,4,0,,18,4,33,12,3,1,0,0,0
476,45,Female,high,Research & Development,3,1,Travel_Frequently,25,40,2,0,,22,5,22,0,0,1,0,0,0
477,55,Female,high,Research & Development,2,0,Travel_Rarely,8,40,3,1,0.0,14,3,21,5,0,1,0,1,0
478,54,Male,medium,Research & Development,3,0,Travel_Rarely,1,40,3,0,,13,5,13,12,2,1,0,0,1
479,31,Male,medium,Sales,1,0,Travel_Rarely,5,40,3,1,2.0,19,4,6,5,0,1,0,1,0
480,32,Male,low,Research & Development,4,1,Travel_Rarely,2,40,1,0,,13,2,9,6,0,1,0,0,0
481,31,Female,medium,Research & Development,8,0,Travel_Rarely,12,40,4,1,1.0,23,5,7,4,0,1,0,1,0
482,26,Male,medium,Sales,1,0,Travel_Frequently,1,40,1,0,,12,1,7,7,0,1,0,0,0
483,21,Female,low,Research & Development,1,0,Travel_Rarely,18,40,4,0,,19,4,1,1,0,1,0,0,1
484,39,Female,medium,Research & Development,1,1,Travel_Frequently,8,40,3,0,,11,1,8,8,0,1,0,0,0
485,33,Male,medium,Sales,0,1,Travel_Rarely,8,40,3,0,,12,2,6,5,1,1,0,0,0
486,45,Female,low,Research & Development,1,1,Travel_Rarely,2,40,3,1,0.0,14,3,1,1,0,1,0,1,0
487,35,Female,low,Research & Development,1,0,Travel_Rarely,2,40,1,0,,12,2,1,1,0,1,0,0,1
488,36,Male,medium,Research & Development,6,1,Travel_Rarely,27,40,3,0,,13,2,17,7,7,1,0,0,0
489,51,Female,medium,Sales,4,0,Travel_Rarely,14,40,4,0,,11,1,18,7,0,1,0,0,0
490,33,Male,low,Human Resources,3,0,Travel_Rarely,3,40,2,0,,11,1,7,4,0,1,0,0,0
491,34,Male,medium,Sales,0,1,Non-Travel,23,40,3,0,,20,5,10,9,8,1,0,0,0
492,31,Female,medium,Sales,1,1,Travel_Rarely,5,40,4,0,,11,1,10,10,0,1,0,0,0
493,34,Male,medium,Sales,3,0,Travel_Rarely,3,40,1,0,,18,4,15,13,3,1,0,0,0
494,54,Female,high,Research & Development,7,0,Travel_Frequently,1,40,3,0,,17,4,33,5,1,1,0,0,0
495,40,Female,medium,Research & Development,6,0,Travel_Rarely,16,40,4,0,,15,3,18,4,3,1,0,0,0
496,56,Female,medium,Research & Development,9,0,Travel_Rarely,14,40,2,1,1.0,18,4,7,5,4,1,0,1,1
497,43,Male,high,Research & Development,6,0,Travel_Rarely,14,40,1,0,,24,5,22,4,1,1,0,0,0
498,30,Female,low,Research & Development,0,0,Non-Travel,2,40,4,0,,14,3,12,11,6,1,0,0,0
